5000,B00653KJ5M,A122CSYJ3YSKI0,Shaimun,0,0,5,1337990400,Great Healthy Snack!,"I love these cookies. I am on the paleo diet right now and these cookies are what I look forward too. I do like the taste of the tropical one the best. They all have different taste but if you want something that is grain free and gluten free then this is the right place. I expected the taste to be different and it is. Other reviewers seem to expect them to taste like oreos or chips ahoy. Of course not.<br /><br />When I eat them, I don't even feel bad about it because my body welcomes them. They don't make me crash either and feel like I ate junk food. It is a good indicator that these were made from all natural ingredients. I wish I had these cookies close to me. I'd buy them every single day!"
5001,B00653KJ5M,AFDTKXT1I8C0K,Darcie Wige,0,0,5,1331856000,Cave Man Cookies Are Crazy Good!,"I thought I'd try the multi-pack to see which flavor I liked the best, but I like them all. They are healthy, fulfilling, and all good ingredients I can actually pronounce. These are the smaller packs, and now I can proceed to ordering the larger bags. Love these cookies!"
5002,B00653KJ5M,A4YDTPAUUFGV2,Shell,0,0,5,1328486400,perfect for sweet tooth just coming off gluten,i just started the paleo diet and i love it! lost 4 lbs in like a week! anyway i was so glad to find out there are paleo cookies out there and thank goddess they're good!! i loved the original and when they sent me them i got a sample of tropical and i loved that too! so i ordered the tropical and got a sample of rainforest! at first they're good but if you read the ingredients u'll see there is cayenne pepper in it and im really sensitive to hot spices and i could SOOO feel it on my tong! it was like an after taste. but if u enjoy a little fire with ur sweet u'll like rainforest flavor! really wanna try the alpine flavored ones they're a lot darker in color so it should be interesting :) good job caveman bakery! I LOVE YOU!
5003,B00653KJ5M,A2IMM1IOY8Y36C,"Emma McCreary ""cheekyboots""",1,2,1,1333497600,taste just awful!,"I've been Paleo for six months, as has my partner. We both found these inedible. All four kinds (which, by the way, taste nearly the same).<br /><br />I'm not sure what it is about them either. It seems like they would be good from the ingredients. But something about the combination of flavors just does not taste good. I kept trying them again, hoping that they would grow on me. They sure didn't. We finally tossed them.<br /><br />So, I would advise getting just one from a local co-op or something before you buy a whole bunch online. I sure which I had."
5004,B00653KJ5M,A16PI051YKM276,Lily,0,1,4,1330646400,Like the texture,"I bought a 40 sampler pack from the caveman bakery website. It's not exactly like a cookie consistency however the texture and chewiness of the cookie I like. They kind of remind me of like those natural nut and fruit bars, like kind or something. Of the ones I've tried, Alpine and Tropical are my favorites mainly because alpine has hazelnut and tropical has a coconut taste in it. The least favorite that I've tried is either the rainforest, it has a strong taste of ginger and I'm not a fan of ginger. The other ones are pretty good too. However, I didn't realize that these cookies were so small, but I guess based on the big portions of today's society, this is a normal portion.<br /><br />Overall its good, would I buy again? Maybe if I was on a strict gluten-free diet."
5005,B0007XXPPW,A32RBJVFSTRK2,Cautious Shopper,1,2,1,1213833600,Too expensive to buy here.,Formula itself is great. Works wonders for a baby that spits up but WTF... why is it so expensive here? $121 for 6 12.9oz cans. That's $20 for a 12.9oz can when you can buy a 24oz can at any store for less than $25. Almost double the price...I don't get it.
5006,B003BLBVOY,AHA9SPGZX4OE,Marcia Martin,3,3,5,1305849600,Happy to have found this product,"With all of the choices of things to drink, this is an excellent one. It tastes great. Most of our choices are either loaded with sugar, or carbonated ... even milk is sugar-dense. This drink is good for blood pressure and cholesterol. It is an excellent thirst-quencher. So much better for the hot summer months than sugary lemonade! It does, however acidify the pH. I am supposed to be alkalizing my diet, so I can't drink a lot of this. :(<br /><br />From the time I was a small child, my mother was an advocate of apple cider vinegar and honey for health. Hippocrates would have been happy to discover Bragg Organic Apple Cider Vinegar All Natural Drink: Concord Grape Acai :))) Try it and drink to good health!"
5007,B003BLBVOY,A1IF14EY0KK6TB,Greg,1,1,4,1329264000,Awesome!,"This may not be the best tasting thing I have ever drank but man do I feel instant results after drinking some. I would best describe the effects as very close to the good feeling you experience when you drink coffee. I notice that my circulation feels fantastic like my whole body is warm, a very healthy dose of energy and I dont notice any jitteryness like coffee or energy drinks give you.  The only reason I didnt rate it 5 start is because a 16oz bottle is $3.00 which I think is a little steep. But for the great feeling I get when I drink some I would highly recommend it to anyone else who wants to feel a boost of energy as well as a general sense of well being."
5008,B003BLBVOY,A23NAH2MZ7UHW6,Mandy,0,0,4,1347753600,great product,"Let me preface this by saying I purchased it at a local health food store for about a dollar less. I was pleasantly surprised with this drink. It tastes great, but definitely a little tangy. What I loved about this was how great I felt after drinking it. I felt awake and focused, and just overall really good. I will definitely be buying more."
5009,B003BLBVOY,A94ARGL32SASM,In L.A.,0,0,2,1344384000,The flavor is closer to salad dressing...,"I love using generous amounts of vinegar on sandwiches, salads, etc., but this drink was so vinegary that I got a bit of a tummy ache.  It tasted closer to salad dressing than it did a drink.  I tried really hard to like it, but no go."
